Japanese,English
の,of
に,On
を,of
は,teeth
年,Year
が,but
た,rice field
で,and
て,hand
と,and
し,death
月,moon
日,Day
れ,Conceit
さ,difference
者,By
する,do
も,and
ます,increase
利用,use
こと,matter
ある,be
いる,Be
な,Named
から,from
い,stomach
ない,do not have
ページ,page
第,First
へ,fart
や,or
日本,Japan
として,As
です,is
か,mosquito
会話,conversation
削除,delete
この,this
市,city
県,prefecture
れる,Be
あり,can be
ん,yeah
よう,So
ため,For
的,of
編集,edit
ください,please give me
人,people
という,As
など,Such
依頼,request
なっ,In
名,name
版,Version
でき,Can
ませ,Not
リンク,Link
駅,station
記事,article
について,about
う,cormorant
その,the
もの,thing
投稿,Posting
ば,palce
町,town
まし,Better
なる,Become
場合,case
あっ,Ah
ノート,Note
号,Number
方針,policy
回,times
さん,Mr. Miss.
まで,to
だ,is
中,middle
ので,So
一,one
放送,broadcast
後,back
おり,Welcome
人物,figure
署名,signature
本,Book
において,In
家,Home
られ,Be
また,again
選手,player
お,oh
活動,Activity
東京,Tokyo
画像,image
会,meeting
学校,School
映画,movie
時,hour
情報,information
性,sex
部,department
より,Than
案内,guidance
質問,question
区,district
ご,Go game
大,big
上,superior
紹介,introduction
作成,create
日本語,Japanese
これ,this
位,Position
国,country
二,two
一覧,List
作品,work
ようこそ,welcome
議論,Discussion
使用,use
村,village
出典,source
世界,world
テレビ,tv set
による,according to
州,state
なり,In
三,three
問題,question
昭和,Showa
線,Wire
郡,county
番組,program
ファイル,File
脚注,footnote
賞,award
なく,With no
なら,Oral
自己,Own
話,Story
ず,figure
により,By
分,point
前,forward
代表,represent
たら,Then
せ,height
化,change
平成,Heisei
に関する,Related to
できる,can
出身,where one is from
仮,tentative
スタイル,style
ガイドライン,Guideline
思い,thought
方,direction
外部,external
数,number
五,five
内容,content
児童,Child
関連,connection
ヘルプ,help
現在,Now
時代,era
元,Yuan
それ,that
研究,Research
新,new
注意,Notice
他,he
金,Money
局,Bureau
機能,function
あなた,you
除去,Removal
鉄道,Railway
項目,project
目,eye
とき,Time
用,use
曲,song
社,Shrine
使い方,How to use
必要,need
説明,explanation
基本,Basic
によって,By
大学,University
変更,change
水,water
新しい,new
チーム,team
執筆,writing